,state,college,cases,college_size_category,distance_educ_offered,admissions_total,freshmen_enrollment,admissions_men,admissions_women,number_freshmen_submitting_sat,number_freshmen_submitting_act,sat_ebrw_25,sat_ebrw_75,sat_math_25,sat_math_75,act_comp_25,act_comp_75,act_english_25,act_english_75,act_math_25,act_math_75,football_conference,region,status_reopening,stay_at_home_order,large_gatherings,restaurant_limits,bar_closures,face_coverings,class_plan,total_enrollment,percent_infected,greater_than_5
36,Arkansas,Ouachita Baptist University,197.0,2.0,1.0,1559.0,441.0,568.0,991.0,107.0,389.0,530.0,630.0,530.0,620.0,21.0,28.0,21.0,31.0,19.0,27.0,Great American Conference,South,Paused,-,Lifted,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Primarily online,1660,0.11867469879518072,1
37,Arkansas,Southern Arkansas University,216.0,2.0,1.0,2518.0,833.0,983.0,1535.0,6.0,832.0,458.0,600.0,508.0,568.0,18.0,24.0,18.0,25.0,17.0,24.0,Great American Conference,South,Paused,-,Lifted,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Other,4472,0.04830053667262969,0
38,Arkansas,University of Arkansas,2742.0,5.0,1.0,13809.0,4605.0,5574.0,8235.0,1178.0,4105.0,570.0,650.0,550.0,650.0,23.0,30.0,23.0,31.0,22.0,28.0,Southeastern Conference,South,Paused,-,Lifted,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Primarily online,27778,0.09871121031031752,1
42,Arkansas,University of Arkansas at Pine Bluff,201.0,2.0,1.0,2257.0,488.0,814.0,1443.0,76.0,412.0,440.0,530.0,450.0,520.0,16.0,20.0,15.0,21.0,16.0,19.0,Southwestern Athletic Conference,South,Paused,-,Lifted,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Primarily online,2579,0.07793718495540908,1
43,Arkansas,University of Central Arkansas,563.0,4.0,1.0,4880.0,1840.0,1715.0,3165.0,48.0,1757.0,490.0,580.0,470.0,580.0,21.0,27.0,21.0,29.0,19.0,25.0,Southland Conference,South,Paused,-,Lifted,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Primarily online,11177,0.05037129820166413,1
44,Arkansas,University of the Ozarks,63.0,1.0,0.0,931.0,209.0,355.0,576.0,31.0,137.0,450.0,510.0,420.0,540.0,18.0,23.0,16.0,23.0,17.0,23.0,Not applicable,South,Paused,-,Lifted,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Hybrid,872,0.07224770642201835,1
46,California,Azusa Pacific University,44.0,3.0,1.0,5528.0,692.0,1818.0,3710.0,595.0,212.0,520.0,630.0,510.0,630.0,20.0,26.0,19.0,27.0,18.0,26.0,Great Northeast Athletic Conference,West,New Restrictions Imposed,Statewide,All Gatherings Prohibited,Newly Closed to Dine-in Service,Closed,Required for General Public,Fully online,10095,0.0043585933630510155,0
48,California,Biola University,10.0,3.0,1.0,2945.0,907.0,972.0,1973.0,714.0,294.0,550.0,660.0,530.0,650.0,21.0,28.0,21.0,29.0,19.0,27.0,Not applicable,West,New Restrictions Imposed,Statewide,All Gatherings Prohibited,Newly Closed to Dine-in Service,Closed,Required for General Public,Primarily online,6109,0.001636929120969062,0
49,California,California Baptist University,25.0,4.0,1.0,6451.0,1523.0,2211.0,4240.0,1365.0,481.0,500.0,610.0,490.0,600.0,18.0,24.0,17.0,24.0,17.0,24.0,Not applicable,West,New Restrictions Imposed,Statewide,All Gatherings Prohibited,Newly Closed to Dine-in Service,Closed,Required for General Public,Primarily online,10486,0.002384131222582491,0
50,California,California Institute of Technology,48.0,2.0,0.0,537.0,235.0,272.0,265.0,186.0,98.0,740.0,760.0,790.0,800.0,35.0,36.0,35.0,36.0,35.0,36.0,Not applicable,West,New Restrictions Imposed,Statewide,All Gatherings Prohibited,Newly Closed to Dine-in Service,Closed,Required for General Public,Fully online,2233,0.021495745633676667,0
51,California,California Lutheran University,22.0,2.0,1.0,4410.0,647.0,1778.0,2632.0,547.0,188.0,540.0,630.0,530.0,620.0,21.0,27.0,21.0,27.0,19.0,27.0,Southern California Intercollegiate Athletic Conference,West,New Restrictions Imposed,Statewide,All Gatherings Prohibited,Newly Closed to Dine-in Service,Closed,Required for General Public,Primarily online,4383,0.005019393109742185,0
52,California,"California Polytechnic State University, San Luis Obispo",871.0,5.0,1.0,15366.0,4613.0,7012.0,8354.0,3606.0,2214.0,620.0,700.0,620.0,740.0,26.0,32.0,26.0,34.0,26.0,32.0,Big Sky Conference,West,New Restrictions Imposed,Statewide,All Gatherings Prohibited,Newly Closed to Dine-in Service,Closed,Required for General Public,Primarily online,22013,0.03956752827874438,0
53,California,"California State Polytechnic University, Pomona",22.0,5.0,1.0,21687.0,3694.0,10044.0,11643.0,3520.0,858.0,500.0,620.0,510.0,650.0,19.0,27.0,18.0,27.0,18.0,27.0,Not applicable,West,New Restrictions Imposed,Statewide,All Gatherings Prohibited,Newly Closed to Dine-in Service,Closed,Required for General Public,Fully online,26598,0.0008271298593879239,0
57,California,"California State University, Chico",233.0,4.0,1.0,18740.0,2561.0,7527.0,11213.0,2305.0,716.0,500.0,600.0,490.0,590.0,18.0,24.0,16.0,23.0,17.0,24.0,Not applicable,West,New Restrictions Imposed,Statewide,All Gatherings Prohibited,Newly Closed to Dine-in Service,Closed,Required for General Public,Fully online,17578,0.0132552053703493,0
60,California,"California State University, Fullerton",22.0,5.0,1.0,26398.0,4778.0,10163.0,16235.0,4579.0,1260.0,510.0,600.0,520.0,600.0,19.0,24.0,17.0,24.0,18.0,25.0,Not applicable,West,New Restrictions Imposed,Statewide,All Gatherings Prohibited,Newly Closed to Dine-in Service,Closed,Required for General Public,Fully online,40280,0.0005461767626613704,0
61,California,"California State University, Long Beach",51.0,5.0,1.0,28019.0,5161.0,10714.0,17305.0,4928.0,1217.0,520.0,620.0,520.0,630.0,20.0,26.0,19.0,26.0,19.0,26.0,Not applicable,West,New Restrictions Imposed,Statewide,All Gatherings Prohibited,Newly Closed to Dine-in Service,Closed,Required for General Public,Primarily online,37466,0.0013612341856616666,0
62,California,"California State University, Los Angeles",105.0,5.0,1.0,16084.0,3287.0,6229.0,9855.0,3163.0,1101.0,450.0,540.0,440.0,540.0,15.0,20.0,14.0,20.0,16.0,19.0,Not applicable,West,New Restrictions Imposed,Statewide,All Gatherings Prohibited,Newly Closed to Dine-in Service,Closed,Required for General Public,Fully online,28036,0.0037451847624482807,0
63,California,"California State University, Monterey Bay",10.0,3.0,1.0,9280.0,1046.0,3155.0,6125.0,966.0,363.0,485.0,600.0,470.0,570.0,17.0,23.0,15.0,23.0,16.0,22.0,Not applicable,West,New Restrictions Imposed,Statewide,All Gatherings Prohibited,Newly Closed to Dine-in Service,Closed,Required for General Public,Primarily online,7540,0.001326259946949602,0
64,California,"California State University, Northridge",71.0,5.0,1.0,18194.0,4792.0,7430.0,10764.0,4501.0,1019.0,460.0,570.0,450.0,560.0,16.0,22.0,15.0,22.0,16.0,22.0,Not applicable,West,New Restrictions Imposed,Statewide,All Gatherings Prohibited,Newly Closed to Dine-in Service,Closed,Required for General Public,Primarily online,40212,0.0017656420968865016,0
65,California,"California State University, Sacramento",77.0,5.0,1.0,22685.0,4175.0,9060.0,13625.0,3933.0,1083.0,470.0,570.0,470.0,570.0,16.0,22.0,15.0,22.0,16.0,22.0,Big Sky Conference,West,New Restrictions Imposed,Statewide,All Gatherings Prohibited,Newly Closed to Dine-in Service,Closed,Required for General Public,Primarily online,31902,0.0024136417779449565,0
66,California,"California State University, San Bernardino",28.0,5.0,1.0,11183.0,2885.0,4012.0,7171.0,2816.0,1050.0,460.0,550.0,450.0,540.0,15.0,19.0,14.0,19.0,16.0,19.0,Not applicable,West,New Restrictions Imposed,Statewide,All Gatherings Prohibited,Newly Closed to Dine-in Service,Closed,Required for General Public,Primarily online,20238,0.0013835359225219882,0
67,California,"California State University, San Marcos",45.0,4.0,1.0,10699.0,2245.0,3947.0,6752.0,2118.0,610.0,480.0,570.0,470.0,570.0,17.0,22.0,15.0,22.0,16.0,22.0,Not applicable,West,New Restrictions Imposed,Statewide,All Gatherings Prohibited,Newly Closed to Dine-in Service,Closed,Required for General Public,Primarily online,15972,0.0028174305033809165,0
69,California,Chapman University,152.0,3.0,1.0,7943.0,1768.0,2969.0,4974.0,1225.0,737.0,600.0,680.0,590.0,700.0,25.0,31.0,25.0,34.0,24.0,28.0,Southern California Intercollegiate Athletic Conference,West,New Restrictions Imposed,Statewide,All Gatherings Prohibited,Newly Closed to Dine-in Service,Closed,Required for General Public,Primarily online,9608,0.01582014987510408,0
