college,class_plan,total_enrollment
"City University of New York, New York City College of Technology",Primarily online,17269
"City University of New York, York College",Primarily online,8693
City University of Seattle,Hybrid,2113
City Vision University,Fully online,137
Claflin University,Primarily online,2172
Claremont McKenna College,Fully online,1327
Clarion University of Pennsylvania,Primarily online,4864
Clark Atlanta University,Fully online,3911
Clark College,Primarily online,9878
Clark University,Hybrid,3122
Clarke University,Primarily online,1004
Clarks Summit University,Hybrid,768
Clarkson College,Primarily online,1162
Clarkson University,Hybrid,4274
Clayton State University,Primarily in person,7038
Clear Creek Baptist Bible College,Fully in person,131
Cleary University,Primarily in person,594
Clemson University,Primarily online,24951
Cleveland Institute of Art,Primarily online,670
Cleveland Institute of Music,Primarily in person,402
Cleveland State University,Primarily online,16069
Cleveland University at Kansas City,Fully in person,549
Clinton College,Fully online,193
Clover Park Technical College,Primarily online,3905
Coastal Carolina University,Primarily online,10641
Coe College,Primarily in person,1422
Coker College,Primarily in person,1280
Colby College,Primarily in person,2000
Colby-Sawyer College,Primarily in person,859
Colgate University,Hybrid,2969
College for Creative Studies,Primarily online,1485
College of Biblical Studies at Houston,Undetermined,376
College of Central Florida,Primarily online,6820
College of Charleston,Primarily online,10783
College of Coastal Georgia,Fully in person,3546
College of Idaho,Primarily online,964
College of Menominee Nation,Primarily online,237
College of Mount Saint Vincent,Primarily in person,1861
College of New Jersey,Primarily online,7686
College of New Rochelle,Hybrid,2853
College of Saint Benedict,Hybrid,1782
College of Saint Elizabeth,Hybrid,1186
College of Saint Mary,Primarily in person,1168
College of Saint Rose,Hybrid,3983
College of Saint Scholastica,Primarily online,4043
College of Southern Nevada,Other,34169
College of St. Joseph,Other,227
College of the Atlantic,Hybrid,337
College of the Holy Cross,Fully online,2939
College of the Ozarks,Primarily in person,1565
College of William & Mary,Primarily online,8817
College of Wooster,Primarily online,2004
CollegeAmerica at Colorado Springs,Other,143
CollegeAmerica at Flagstaff,Other,62
CollegeAmerica at Fort Collins,Other,113
CollegeAmerica at Phoenix,Other,488
CollegeAmerica-Stevens Henager College,Other,85
Colorado Christian University,Primarily in person,7625
Colorado College,Fully online,2144
Colorado Mesa University,Primarily in person,9492
Colorado Mountain College,Hybrid,5688
Colorado School of Mines,Primarily in person,6325
Colorado State University,Primarily in person,33478
Colorado State University-Pueblo,Primarily in person,6736
Columbia Basin College,Primarily online,7034
Columbia College,Fully in person,1276
Columbia College,Primarily in person,12080
Columbia College Chicago,Primarily online,6825
Columbia College Hollywood,Hybrid,540
Columbia International University,Primarily in person,1048
Columbia University,Fully online,31077
Columbus College of Art & Design,Fully online,1094
Columbus State University,Primarily in person,8076
Community College of Denver,Hybrid,7887
Compass College of Cinematic Arts,Primarily in person,129
Conception Seminary College,Undetermined,64
Concord University,Primarily in person,2040
Concordia College,Primarily online,1737
Concordia College at Moorhead,Primarily in person,2129
"Concordia University, Nebraska",Hybrid,2424
Concordia University Ann Arbor,Primarily in person,1197
Concordia University Chicago,Fully online,6005
Concordia University Irvine,Primarily online,4162
Concordia University Texas,Hybrid,2568
"Concordia University, St. Paul",Primarily in person,5054
Concordia University Wisconsin,Primarily in person,6374
Connecticut College,Other,1844
Converse College,Primarily in person,1380
Cooper Union for the Advancement of Science and Art,Fully online,952
Coppin State University,Hybrid,2738
Corban University,Primarily in person,1183
Cornell College,Hybrid,1028
Cornell University,Hybrid,23600
Cornerstone University,Hybrid,2131
Cornish College of the Arts,Primarily in person,625
Cottey College,Hybrid,271
